Key,Source,Context,Changes,English,tchinese
plantedCeleryPlantWildAOO,items,Crop,,Celery (Harvestable),芹菜（可收成）
,,,,,
plantedCherryTreeSeedAOO,items,Crop,,Cherry Tree (Seed),櫻桃樹（種子）
plantedCherryTreeGrowingAOO,items,Crop,,Cherry Tree (Growing),櫻桃樹（生長中）
plantedCherryTreePlantHarvestAOO,items,Crop,,Cherry Tree (Ready),櫻桃樹（已成熟）
plantedCherryTreePlantWildAOO,items,Crop,,Cherry Tree (Harvestable),櫻桃樹（可收成）
,,,,,
plantedCranberryTreeSeedAOO,items,Crop,,Cranberry Tree (Seed),蔓越莓樹（種子）
plantedCranberryTreeGrowingAOO,items,Crop,,Cranberry Tree (Growing),蔓越莓樹（生長中）
plantedCranberryTreePlantHarvestAOO,items,Crop,,Cranberry Tree (Ready),蔓越莓樹（已成熟）
plantedCranberryTreePlantWildAOO,items,Crop,,Cranberry Tree (Harvestable),蔓越莓樹（可收成）
,,,,,
plantedCoconutTreeSeedAOO,items,Crop,,Coconut Tree (Seed),椰子樹（種子）
plantedCoconutTreeGrowingAOO,items,Crop,,Coconut Tree (Growing),椰子樹（生長中）
plantedCoconutTreePlantHarvestAOO,items,Crop,,Coconut Tree (Ready),椰子樹（已成熟）
plantedCoconutTreePlantWildAOO,items,Crop,,Coconut Tree (Harvestable),椰子樹（可收成）
,,,,,
plantedCucumberSeedAOO,items,Crop,,Cucumber (Seed),小黃瓜（種子）
plantedCucumberGrowingAOO,items,Crop,,Cucumber (Growing),小黃瓜（生長中）
plantedCucumberPlantHarvestAOO,items,Crop,,Cucumber (Ready),小黃瓜（已成熟）
plantedCucumberPlantAOO,items,Crop,,Cucumber (Harvestable),小黃瓜（可收成）
,,,,,
plantedDevilsClawSeedTSK_AOO,blocks,Crop,New,Devil's Claw (Seed),惡魔之爪（種子）
plantedDevilsClawGrowingTSK_AOO,blocks,Crop,New,Devil's Claw (Growing),惡魔之爪（生長中）
plantedDevilsClawPlantHarvestTSK_AOO,blocks,Crop,New,Devil's Claw (Ready),惡魔之爪（已成熟）
plantedDevilsClawPlantWildTSK_AOO,blocks,Crop,New,Devil's Claw (Harvestable),惡魔之爪（可收成）
,,,,,
plantedEchinaceaSeedTSK_AOO,blocks,Crop,New,Echinacea (Seed),紫錐菊（種子）
plantedEchinaceaGrowingTSK_AOO,blocks,Crop,New,Echinacea (Growing),紫錐菊（生長中）
plantedEchinaceaPlantHarvestTSK_AOO,blocks,Crop,New,Echinacea (Ready),紫錐菊（已成熟）
plantedEchinaceaPlantWildTSK_AOO,blocks,Crop,New,Echinacea (Harvestable),紫錐菊（可收成）
,,,,,
plantedFeverfewSeedTSK_AOO,blocks,Crop,New,Feverfew (Seed),發燒菊（種子）
plantedFeverfewGrowingTSK_AOO,blocks,Crop,New,Feverfew (Growing),發燒菊（生長中）
plantedFeverfewPlantHarvestTSK_AOO,blocks,Crop,New,Feverfew (Ready),發燒菊（已成熟）
plantedFeverfewPlantWildTSK_AOO,blocks,Crop,New,Feverfew (Harvestable),發燒菊（可收成）
,,,,,
plantedFlaxSeedAOO,items,Crop,,Flax (Seed),亞麻（種子）
plantedFlaxGrowingAOO,items,Crop,,Flax (Growing),亞麻（生長中）
plantedFlaxPlantHarvestAOO,items,Crop,,Flax (Ready),亞麻（已成熟）
plantedFlaxPlantWildAOO,items,Crop,,Flax (Harvestable),亞麻（可收成）
,,,,,
plantedGarlicSeedTSK_AOO,items,Crop,,Garlic (Seed),大蒜（種子）
plantedGarlicGrowingTSK_AOO,items,Crop,,Garlic (Growing),大蒜（生長中）
plantedGarlicPlantHarvestTSK_AOO,items,Crop,,Garlic (Ready),大蒜（已成熟）
plantedGarlicPlantWildTSK_AOO,items,Crop,,Garlic (Harvestable),大蒜（可收成）
,,,,,
plantedGingerSeedTSK_AOO,items,Crop,,Ginger (Seed),薑（種子）
plantedGingerGrowingTSK_AOO,items,Crop,,Ginger (Growing),薑（生長中）
plantedGingerPlantHarvestTSK_AOO,items,Crop,,Ginger (Ready),薑（已成熟）
plantedGingerPlantWildTSK_AOO,items,Crop,,Ginger (Harvestable),薑（可收成）
,,,,,
plantedGuavaSeedTSK_AOO,items,Crop,,Guava (Seed),番石榴（種子）
plantedGuavaGrowingTSK_AOO,items,Crop,,Guava (Growing),番石榴（生長中）
plantedGuavaPlantHarvestTSK_AOO,items,Crop,,Guava (Ready),番石榴（已成熟）
plantedGuavaPlantWildTSK_AOO,items,Crop,,Guava (Harvestable),番石榴（可收成）
,,,,,
plantedMixedHerbsSeedAOO,items,Crop,,Mixed Herbs (Seed),混合香草（種子）
plantedMixedHerbsGrowingAOO,items,Crop,,Mixed Herbs (Growing),混合香草（生長中）
plantedMixedHerbsPlantWildAOO,items,Crop,,Mixed Herbs (Ready),混合香草（已成熟）
plantedMixedHerbsPlantHarvestAOO,items,Crop,,Mixed Herbs (Harvestable),混合香草（可收成）
,,,,,
plantedIcebergLettuceSeedAOO,items,Crop,,Iceberg Lettuce (Seed),萵苣（種子）
plantedIcebergLettuceGrowingAOO,items,Crop,,Iceberg Lettuce (Growing),萵苣（生長中）
plantedIcebergLettucePlantHarvestAOO,items,Crop,,Iceberg Lettuce (Ready),萵苣（已成熟）
plantedIcebergLettuceGrowingAOO,items,Crop,,Iceberg Lettuce (Harvestable),萵苣（可收成）
,,,,,
plantedJalapenoSeedAOO,items,Crop,,Jalapeno (Seed),墨西哥辣椒（種子）
plantedJalapenoGrowingAOO,items,Crop,,Jalapeno (Growing),墨西哥辣椒（生長中）
plantedJalapenoPlantHarvestAOO,items,Crop,,Jalapeno (Ready),墨西哥辣椒（已成熟）
plantedJalapenoPlantWildAOO,items,Crop,,Jalapeno (Harvestable),墨西哥辣椒（可收成）
,,,,,
plantedLemonTreeSeedTSK_AOO,items,Crop,,Lemon Tree (Seed),檸檬樹（種子）
plantedLemonTreeGrowingTSK_AOO,items,Crop,,Lemon Tree (Growing),檸檬樹（生長中）
plantedLemonTreePlantHarvestTSK_AOO,items,Crop,,Lemon Tree (Ready),檸檬樹（已成熟）
plantedLemonTreePlantWildTSK_AOO,items,Crop,,Lemon Tree (Harvestable),檸檬樹（可收成）
,,,,,
plantedLimeTreeSeedTSK_AOO,items,Crop,,Lime Tree (Seed),萊姆樹（種子）
plantedLimeTreeGrowingTSK_AOO,items,Crop,,Lime Tree (Growing),萊姆樹（生長中）
plantedLimeTreePlantHarvestTSK_AOO,items,Crop,,Lime Tree (Ready),萊姆樹（已成熟）
plantedLimeTreePlantWildTSK_AOO,items,Crop,,Lime Tree (Harvestable),萊姆樹（可收成）
,,,,,
plantedMangoTreeSeedTSK_AOO,items,Crop,,Mango Tree (Seed),芒果樹（種子）
plantedMangoTreeGrowingTSK_AOO,items,Crop,,Mango Tree (Growing),芒果樹（生長中）
plantedMangoTreePlantHarvestTSK_AOO,items,Crop,,Mango Tree (Ready),芒果樹（已成熟）
plantedMangoTreePlantWildTSK_AOO,items,Crop,,Mango Tree (Harvestable),芒果樹（可收成）
,,,,,
plantedMarijuanaSeedAOO,items,Crop,,Marijuana (Seed),大麻（種子）
plantedMarijuanaGrowingAOO,items,Crop,,Marijuana (Growing),大麻（生長中）
plantedMarijuanaPlantHarvestAOO,items,Crop,,Marijuana (Ready),大麻（已成熟）
plantedMarijuanaPlantWildAOO,items,Crop,,Marijuana (Harvestable),大麻（可收成）
,,,,,
plantedMintSeedTSK_AOO,items,Crop,,Mint (Seed),薄荷（種子）
plantedMintGrowingTSK_AOO,items,Crop,,Mint (Growing),薄荷（生長中）
plantedMintPlantHarvestTSK_AOO,items,Crop,,Mint (Ready),薄荷（已成熟）
plantedMintPlantWildTSK_AOO,items,Crop,,Mint (Harvestable),薄荷（可收成）
,,,,,
plantedMixedNutTreeSeedAOO,items,Crop,,Mixed Nut Tree (Seed),混合堅果樹（種子）
plantedMixedNutTreeGrowingAOO,items,Crop,,Mixed Nut Tree (Growing),混合堅果樹（生長中）
plantedMixedNutTreePlantWildAOO,items,Crop,,Mixed Nut Tree (Ready),混合堅果樹（已成熟）
plantedMixedNutTreePlantHarvestAOO,items,Crop,,Mixed Nut Tree (Harvestable),混合堅果樹（可收成）
,,,,,
plantedOliveTreeSeedTSK_AOO,items,Crop,,Olive Tree (Seed),橄欖樹（種子）
plantedOliveTreeGrowingTSK_AOO,items,Crop,,Olive Tree (Growing),橄欖樹（生長中）
plantedOliveTreePlantHarvestTSK_AOO,items,Crop,,Olive Tree (Ready),橄欖樹（已成熟）
plantedOliveTreePlantWildTSK_AOO,items,Crop,,Olive Tree (Harvestable),橄欖樹（可收成）
,,,,,
plantedOnionSeedAOO,items,Crop,,Onion (Seed),洋蔥（種子）
plantedOnionGrowingAOO,items,Crop,,Onion (Growing),洋蔥（生長中）
plantedOnionPlantHarvestAOO,items,Crop,,Onion (Ready),洋蔥（已成熟）
plantedOnionPlantWildAOO,items,Crop,,Onion (Harvestable),洋蔥（可收成）
,,,,,
plantedOrangeTreeSeedAOO,items,Crop,,Orange Tree (Seed),橘子樹（種子）
plantedOrangeTreeGrowingAOO,items,Crop,,Orange Tree (Growing),橘子樹（生長中）
plantedOrangeTreePlantHarvestAOO,items,Crop,,Orange Tree (Ready),橘子樹（已成熟）
plantedOrangeTreePlantWildAOO,items,Crop,,Orange Tree (Harvestable),橘子樹（可收成）
,,,,,
plantedPeachTreeSeedAOO,items,Crop,,Peach Tree (Seed),桃樹（種子）
plantedPeachTreeGrowingAOO,items,Crop,,Peach Tree (Growing),桃樹（生長中）
plantedPeachTreePlantHarvestAOO,items,Crop,,Peach Tree (Ready),桃樹（已成熟）
plantedPeachTreePlantWildAOO,items,Crop,,Peach Tree (Harvestable),桃樹（可收成）
,,,,,
plantedPearTreeSeedAOO,items,Crop,,Pear Tree (Seed),梨樹（種子）
plantedPearTreeGrowingAOO,items,Crop,,Pear Tree (Growing),梨樹（生長中）
plantedPearTreePlantHarvestAOO,items,Crop,,Pear Tree (Ready),梨樹（已成熟）
plantedPearTreePlantWildAOO,items,Crop,,Pear Tree (Harvestable),梨樹（可收成）
,,,,,
plantedPineappleSeedAOO,items,Crop,,Pineapple (Seed),鳳梨（種子）
plantedPineappleGrowingAOO,items,Crop,,Pineapple (Growing),鳳梨（生長中）
plantedPineapplePlantHarvestAOO,items,Crop,,Pineapple (Ready),鳳梨（已成熟）
plantedPineapplePlantWildAOO,items,Crop,,Pineapple (Harvestable),鳳梨（可收成）
,,,,,
plantedRaspberrySeedAOO,items,Crop,,Raspberry (Seed),覆盆子（種子）
plantedRaspberryGrowingAOO,items,Crop,,Raspberry (Growing),覆盆子（生長中）
plantedRaspberryPlantHarvestAOO,items,Crop,,Raspberry (Ready),覆盆子（已成熟）
plantedRaspberryPlantWildAOO,items,Crop,,Raspberry (Harvestable),覆盆子（可收成）
,,,,,
plantedAppleTreeSeedAOO,items,Crop,,Apple Tree (Seed),蘋果樹（種子）
plantedAppleTreeGrowingAOO,items,Crop,,Apple Tree (Growing),蘋果樹（生長中）
plantedAppleTreePlantHarvestAOO,items,Crop,,Apple Tree (Ready),蘋果樹（已成熟）
plantedAppleTreePlantWildAOO,items,Crop,,Apple Tree (Harvestable),蘋果樹（可收成）
,,,,,
plantedRiceSeedAOO,items,Crop,,Rice (Seed),稻米（種子）
plantedRiceGrowingAOO,items,Crop,,Rice (Growing),稻米（生長中）
plantedRicePlantHarvestAOO,items,Crop,,Rice (Ready),稻米（已成熟）
plantedRicePlantWildAOO,items,Crop,,Rice (Harvestable),稻米（可收成）
,,,,,
plantedRomaineLettuceSeedAOO,items,Crop,,Romaine Lettuce (Seed),羅馬萵苣（種子）
plantedRomaineGrowingAOO,items,Crop,,Romaine Lettuce (Growing),羅馬萵苣（生長中）
plantedRomaineLettucePlantHarvestAOO,items,Crop,,Romaine Lettuce (Ready),羅馬萵苣（已成熟）
plantedRomaineLettucePlantWildAOO,items,Crop,,Romaine Lettuce (Harvestable),羅馬萵苣（可收成）
,,,,,
plantedRoseSeedTSK_AOO,blocks,Crop,New,Rose (Seed),玫瑰（種子）
plantedRoseGrowingTSK_AOO,blocks,Crop,New,Rose (Growing),玫瑰（生長中）
plantedRosePlantHarvestTSK_AOO,blocks,Crop,New,Rose (Ready),玫瑰（已成熟）
plantedRosePlantWildTSK_AOO,blocks,Crop,New,Rose (Harvestable),玫瑰（可收成）
,,,,,
plantedRosemarySeedTSK_AOO,blocks,Crop,New,Rosemary (Seed),迷迭香（種子）
plantedRosemaryGrowingTSK_AOO,blocks,Crop,New,Rosemary (Growing),迷迭香（生長中）
plantedRosemaryPlantHarvestTSK_AOO,blocks,Crop,New,Rosemary (Ready),迷迭香（已成熟）
plantedRosemaryPlantWildTSK_AOO,blocks,Crop,New,Rosemary (Harvestable),迷迭香（可收成）
,,,,,
plantedRyeSeedTSK_AOO,items,Crop,,Rye (Seed),黑麥（種子）
plantedRyeGrowingTSK_AOO,items,Crop,,Rye (Growing),黑麥（生長中）
plantedRyePlantHarvestTSK_AOO,items,Crop,,Rye (Ready),黑麥（已成熟）
plantedRyePlantWildTSK_AOO,items,Crop,,Rye (Harvestable),黑麥（可收成）
,,,,,
plantedSorghumSeedTSK_AOO,items,Crop,,Sorghum (Seed),高粱（種子）
plantedSorghumGrowingTSK_AOO,items,Crop,,Sorghum (Growing),高粱（生長中）
plantedSorghumPlantHarvestTSK_AOO,items,Crop,,Sorghum (Ready),高粱（已成熟）
plantedSorghumPlantWildTSK_AOO,items,Crop,,Sorghum (Harvestable),高粱（可收成）
,,,,,
plantedSoybeanSeedTSK_AOO,items,Crop,,Soybean (Seed),大豆（種子）
plantedSoybeanGrowingTSK_AOO,items,Crop,,Soybean (Growing),大豆（生長中）
plantedSoybeanPlantHarvestTSK_AOO,items,Crop,,Soybean (Ready),大豆（已成熟）
plantedSoybeanPlantWildTSK_AOO,items,Crop,,Soybean (Harvestable),大豆（可收成）
,,,,,
plantedMixedSpicesSeedAOO,items,Crop,,Mixed Spices (Seed),混合香料（種子）
plantedMixedSpicesGrowingAOO,items,Crop,,Mixed Spices (Growing),混合香料（生長中）
plantedMixedSpicesPlantHarvestAOO,items,Crop,,Mixed Spices (Ready),混合香料（已成熟）
plantedMixedSpicesPlantWildAOO,items,Crop,,Mixed Spices (Harvestable),混合香料（可收成）
,,,,,
plantedSpinachSeedAOO,items,Crop,,Spinach (Seed),菠菜（種子）
plantedSpinachGrowingAOO,items,Crop,,Spinach (Growing),菠菜（生長中）
plantedSpinachPlantHarvestAOO,items,Crop,,Spinach (Ready),菠菜（已成熟）
plantedSpinachPlantWildAOO,items,Crop,,Spinach (Harvestable),菠菜（可收成）
,,,,,
plantedSquashSeedAOO,items,Crop,,Squash (Seed),南瓜（種子）
plantedSquashGrowingAOO,items,Crop,,Squash (Growing),南瓜（生長中）
plantedSquashPlantHarvestAOO,items,Crop,,Squash (Ready),南瓜（已成熟）
plantedSquashPlantWildAOO,items,Crop,,Squash (Harvestable),南瓜（可收成）
,,,,,
plantedStrawberrySeedAOO,items,Crop,,Strawberry (Seed),草莓（種子）
plantedStrawberryGrowingAOO,items,Crop,,Strawberry (Growing),草莓（生長中）
plantedStrawberryPlantHarvestAOO,items,Crop,,Strawberry (Ready),草莓（已成熟）
plantedStrawberryPlantWildAOO,items,Crop,,Strawberry (Harvestable),草莓（可收成）
,,,,,
plantedSugarMapleTreeSeedAOO,items,Crop,,Sugar Maple Tree (Seed),糖楓樹（種子）
plantedSugarMapleTreeGrowingAOO,items,Crop,,Sugar Maple Tree (Growing),糖楓樹（生長中）
plantedSugarMapleTreePlantHarvestAOO,items,Crop,,Sugar Maple Tree (Ready),糖楓樹（已成熟）
plantedSugarMapleTreePlantWildAOO,items,Crop,,Sugar Maple Tree (Ready),糖楓樹（已成熟）
,,,,,
plantedSugarcaneSeedAOO,items,Crop,,Sugarcane (Seed),甘蔗（種子）
plantedSugarcaneGrowingAOO,items,Crop,,Sugarcane (Growing),甘蔗（生長中）
plantedSugarcanePlantHarvestAOO,items,Crop,,Sugarcane (Ready),甘蔗（已成熟）
plantedSugarcanePlantWildAOO,items,Crop,,Sugarcane (Harvestable),甘蔗（可收成）
,,,,,
plantedSunflowerSeedAOO,items,Crop,,Sunflower (Seed),向日葵（種子）
plantedSunflowerGrowingAOO,items,Crop,,Sunflower (Growing),向日葵（生長中）
plantedSunflowerPlantHarvestAOO,items,Crop,,Sunflower (Ready),向日葵（已成熟）
plantedSunflowerPlantWildAOO,items,Crop,,Sunflower (Harvestable),向日葵（可收成）
,,,,,
plantedTomatoSeedAOO,items,Crop,,Tomato (Seed),番茄（種子）
plantedTomatoGrowingAOO,items,Crop,,Tomato (Growing),番茄（生長中）
plantedTomatoPlantHarvestAOO,items,Crop,,Tomato (Ready),番茄（已成熟）
plantedTomatoPlantWildAOO,items,Crop,,Tomato (Harvestable),番茄（可收成）
,,,,,
plantedValerianSeedTSK_AOO,blocks,Crop,New,Valerian (Seed),纈草（種子）
plantedValerianGrowingTSK_AOO,blocks,Crop,New,Valerian (Growing),纈草（生長中）
plantedValerianPlantHarvestTSK_AOO,blocks,Crop,New,Valerian (Ready),纈草（已成熟）
plantedValerianPlantWildTSK_AOO,blocks,Crop,New,Valerian (Harvestable),纈草（可收成）
,,,,,
plantedVanillaSeedTSK_AOO,items,Crop,,Vanilla (Seed),香草蘭（種子）
plantedVanillaGrowingTSK_AOO,items,Crop,,Vanilla (Growing),香草蘭（生長中）
plantedVanillaPlantHarvestTSK_AOO,items,Crop,,Vanilla (Ready),香草蘭（已成熟）
plantedVanillaPlantWildTSK_AOO,items,Crop,,Vanilla (Harvestable),香草蘭（可收成）
,,,,,
plantedGrapeSeedAOO,items,Crop,,Grape (Seed),葡萄（種子）
plantedGrapeGrowingAOO,items,Crop,,Grape (Growing),葡萄（生長中）
plantedGrapePlantHarvestAOO,items,Crop,,Grape (Ready),葡萄（已成熟）
plantedGrapePlantWildAOO,items,Crop,,Grape (Ready),葡萄（已成熟）
,,,,,
plantedWatermelonSeedTSK_AOO,items,Crop,,Watermelon (Seed),西瓜（種子）
plantedWatermelonGrowingTSK_AOO,items,Crop,,Watermelon (Growing),西瓜（生長中）
plantedWatermelonPlantHarvestTSK_AOO,items,Crop,,Watermelon (Ready),西瓜（已成熟）
plantedWatermelonPlantWildTSK_AOO,items,Crop,,Watermelon (Harvestable),西瓜（可收成）
,,,,,
plantedWheatSeedAOO,items,Crop,,Wheat (Seed),小麥（種子）
plantedWheatGrowingAOO,items,Crop,,Wheat (Growing),小麥（生長中）
plantedWheatPlantHarvestAOO,items,Crop,,Wheat (Ready),小麥（已成熟）
plantedWheatPlantWildAOO,items,Crop,,Wheat (Harvestable),小麥（可收成）
,,,,,
plantedWhiteOakTreeSeedAOO,items,Crop,,White Oak Tree (Seed),白橡樹（種子）
plantedWhiteOakTreeGrowingAOO,items,Crop,,White Oak Tree (Growing),白橡樹（生長中）
plantedWhiteOakTreePlantHarvestAOO,items,Crop,,White Oak Tree (Ready),白橡樹（已成熟）
plantedWhiteOakTreePlantWildAOO,items,Crop,,White Oak Tree (Harvestable),白橡樹（可收成）
,,,,,
resourceSeedPackAOO,items,Farming,,Mixed Seed Pack,混合種子包
resourceSeedPackAOODesc,items,Farming,,[d5e2ff]TYPE: [abddfc]Farming \n[8fd3fe]CRAFTING TABLE: [abddfc]Farm Table with Seed Processor with Seed Processor \n[b7e9f7]UNLOCKED BY: [abddfc]Planting and Growing Level 1 \n\n[d7e5f0]DESCRIPTION:[8aecff]A packet of mixed seeds. Use these to create specific seeds in order to plant them for farming.,[d5e2ff]類型：[abddfc]農業\n[8fd3fe]製作台：[abddfc]農場工作台，配備種子處理器\n[b7e9f7]解鎖條件：[abddfc]種植與生長等級 1\n\n[d7e5f0]說明：[8aecff]一包混合種子。使用這些種子來製作特定種子，以便種植它們進行農業活動。
,,,,,
plantedAgaveSeedTSK_AOODesc,items,Crop,,"[abddfc]TYPE: [ffffff]Farming \n[abddfc]CRAFTING TABLE: [ffffff]Farm Table with Seed Processor \n[abddfc]UNLOCKED BY: [ffffff]Planting and Growing Level 1 \n\n[abddfc]DESCRIPTION:[ffffff]Agave seeds. Plant these in a farm crop plot. When the plant says Ready
foodCropAgaveTSK_AOODesc	items	Food		 [abddfc]TYPE: [ffffff]Food \n[abddfc]CRAFTING TABLE: [ffffff]None \n[abddfc]UNLOCKED BY: [ffffff] \n\n[abddfc]DESCRIPTION:[ffffff]Freshly-picked agave. Agave can be eaten raw",[abddfc]類型：[ffffff]農業\n[abddfc]製作台：[ffffff]農場工作台，配備種子處理器\n[abddfc]解鎖條件：[ffffff]種植與生長等級 1\n\n[abddfc]說明：[ffffff]龍舌蘭種子。將它們種植在農場作物地塊中。當植物顯示已成熟時，用鐮刀收割它以收集作物，並讓種子重新生長。
foodCropAgaveTSK_AOO,items,Food,,Agave,[abddfc]類型：[ffffff]食物\n[abddfc]製作台：[ffffff]無\n[abddfc]解鎖條件：[ffffff]無\n\n[abddfc]說明：[ffffff]新鮮採摘的龍舌蘭。龍舌蘭可以生吃
,,,,,
plantedAvocadoTreeSeedTSK_AOODesc,items,Crop,,"[abddfc]TYPE: [ffffff]Farming \n[abddfc]CRAFTING TABLE: [ffffff]Farm Table with Seed Processor \n[abddfc]UNLOCKED BY: [ffffff]Planting and Growing Level 1 \n\n[abddfc]DESCRIPTION:[ffffff]Avocado tree seeds. Plant these in a farm crop plot. When the plant says Ready, harvest it with a scythe to gather the crop and leave the seeds to grow anew.",龍舌蘭
foodCropAvocadoTSK_AOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n[abddfc]CRAFTING TABLE: [ffffff]None \n[abddfc]UNLOCKED BY: [ffffff]Not Locked \n\n[abddfc]DESCRIPTION:[ffffff]Freshly-picked avocados. Avocados can be eaten raw, used in various food recipes, or crafted into seeds.",[abddfc]類型：[ffffff]農業\n[abddfc]製作台：[ffffff]農場工作台，配備種子處理器\n[abddfc]解鎖條件：[ffffff]種植與生長等級 1\n\n[abddfc]說明：[ffffff]酪梨樹種子。將它們種植在農場作物地塊中。當植物顯示已成熟時，用鐮刀收割它以收集作物，並讓種子重新生長。
foodCropAvocadoTSK_AOO,items,Food,,Avocado,[abddfc]類型：[ffffff]食物\n[abddfc]製作台：[ffffff]無\n[abddfc]解鎖條件：[ffffff]未鎖定\n\n[abddfc]說明：[ffffff]新鮮採摘的酪梨。酪梨可以生吃、用於各種食物食譜，或製成種子。
,,,,,
plantedBananaTreeSeedAOODesc,items,Crop,,"[abddfc]TYPE: [ffffff]Farming \n[abddfc]CRAFTING TABLE: [ffffff]Farm Table with Seed Processor \n[abddfc]UNLOCKED BY: [ffffff]Planting and Growing Level 1 \n\n[abddfc]DESCRIPTION:[ffffff]Banana tree seeds. Plant these in a farm crop plot. When the plant says Ready, harvest it with a scythe to gather the crop and leave the seeds to grow anew.",酪梨
foodCropBananaAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n[abddfc]CRAFTING TABLE: [ffffff]None \n[abddfc]UNLOCKED BY: [ffffff]Not Locked \n\n[abddfc]DESCRIPTION:[ffffff]Freshly-picked bananas. Bananas can be eaten raw, used in various food recipes, or crafted into seeds.",[abddfc]類型：[ffffff]農業\n[abddfc]製作台：[ffffff]農場工作台，配備種子處理器\n[abddfc]解鎖條件：[ffffff]種植與生長等級 1\n\n[abddfc]說明：[ffffff]香蕉樹種子。將它們種植在農場作物地塊中。當植物顯示已成熟時，用鐮刀收割它以收集作物，並讓種子重新生長。
foodCropBananaAOO,items,Food,,Banana,[abddfc]類型：[ffffff]食物\n[abddfc]製作台：[ffffff]無\n[abddfc]解鎖條件：[ffffff]未鎖定\n\n[abddfc]說明：[ffffff]新鮮採摘的香蕉。香蕉可以生吃、用於各種食物食譜，或製成種子。
,,,,,
plantedBroccoliSeedAOODesc,items,Crop,,"[abddfc]TYPE: [ffffff]Farming \n[abddfc]CRAFTING TABLE: [ffffff]Farm Table with Seed Processor \n[abddfc]UNLOCKED BY: [ffffff]Planting and Growing Level 1 \n\n[abddfc]DESCRIPTION:[ffffff]Broccoli seeds. Plant these in a farm crop plot. When the plant says Ready, harvest it with a scythe to gather the crop and leave the seeds to grow anew.",香蕉
