Key,Source,Context,Changes,English,tchinese
modDyeAFBlueMaastricht420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Maastricht,染料：馬斯垂克（武裝部隊-藍色）
,,,,,
modDyeLeatherBlack420,item_modifiers,mod,New,Dye: (Leather) Black,染料：黑色（皮革）
modDyeLeatherTanned420,item_modifiers,mod,New,Dye: (Leather) Tanned,染料：鞣製（皮革）
modDyeLeatherDarkRed420,item_modifiers,mod,New,Dye: (Leather) Dark Red,染料：深紅色（皮革）
modDyeLeatherBrown420,item_modifiers,mod,New,Dye: (Leather) Brown,染料：棕色（皮革）
modDyeLeatherSeal420,item_modifiers,mod,New,Dye: (Leather) Seal,染料：海豹（皮革）
modDyeLeatherRusset420,item_modifiers,mod,New,Dye: (Leather) Russet,染料：赤褐色（皮革）
modDyeLeatherDeer420,item_modifiers,mod,New,Dye: (Leather) Deer,染料：鹿（皮革）
modDyeLeatherTuscan420,item_modifiers,mod,New,Dye: (Leather) Tuscan,染料：托斯卡納（皮革）
modDyeLeatherSaddle420,item_modifiers,mod,New,Dye: (Leather) Saddle,染料：馬鞍（皮革）
modDyeLeatherSienna420,item_modifiers,mod,New,Dye: (Leather) Sienna,染料：赭石（皮革）
,,,,,
modDyeMaximumBlue420,item_modifiers,mod,New,Dye: (Maximum) Blue,染料：藍色（最大）
modDyeMaximumBlueGreen420,item_modifiers,mod,New,Dye: (Maximum) Blue Green,染料：藍綠色（最大）
modDyeMaximumBluePurple420,item_modifiers,mod,New,Dye: (Maximum) Blue Purple,染料：藍紫色（最大）
modDyeMaximumGreen420,item_modifiers,mod,New,Dye: (Maximum) Green,染料：綠色（最大）
modDyeMaximumGreenYellow420,item_modifiers,mod,New,Dye: (Maximum) Green Yellow,染料：黃綠色（最大）
modDyeMaximumOrange420,item_modifiers,mod,New,Dye: (Maximum) Orange,染料：橘色（最大）
modDyeMaximumPurple420,item_modifiers,mod,New,Dye: (Maximum) Purple,染料：紫色（最大）
modDyeMaximumPink420,item_modifiers,mod,New,Dye: (Maximum) Pink,染料：粉紅色（最大）
modDyeMaximumRed420,item_modifiers,mod,New,Dye: (Maximum) Red,染料：紅色（最大）
modDyeMaximumRedPurple420,item_modifiers,mod,New,Dye: (Maximum) Red Purple,染料：紅紫色（最大）
modDyeMaximumViolet420,item_modifiers,mod,New,Dye: (Maximum) Violet,染料：紫羅蘭（最大）
modDyeMaximumYellow420,item_modifiers,mod,New,Dye: (Maximum) Yellow,染料：黃色（最大）
modDyeMaximumYellowRed420,item_modifiers,mod,New,Dye: (Maximum) Yellow Red,染料：黃紅色（最大）
,,,,,
modDyeMetallicBlue420,item_modifiers,mod,New,Dye: (Metallic) Blue,染料：藍色（金屬）
modDyeMetallicBronze420,item_modifiers,mod,New,Dye: (Metallic) Bronze,染料：青銅（金屬）
modDyeMetallicBrown420,item_modifiers,mod,New,Dye: (Metallic) Brown,染料：棕色（金屬）
modDyeMetallicGold420,item_modifiers,mod,New,Dye: (Metallic) Gold,染料：金色（金屬）
modDyeMetallicGreen420,item_modifiers,mod,New,Dye: (Metallic) Green,染料：綠色（金屬）
modDyeMetallicOrange420,item_modifiers,mod,New,Dye: (Metallic) Orange,染料：橘色（金屬）
modDyeMetallicPink420,item_modifiers,mod,New,Dye: (Metallic) Pink,染料：粉紅色（金屬）
modDyeMetallicRed420,item_modifiers,mod,New,Dye: (Metallic) Red,染料：紅色（金屬）
modDyeMetallicSeaweed420,item_modifiers,mod,New,Dye: (Metallic) Seaweed,染料：海藻（金屬）
modDyeMetallicSilver420,item_modifiers,mod,New,Dye: (Metallic) Silver,染料：銀色（金屬）
modDyeMetallicSunburst420,item_modifiers,mod,New,Dye: (Metallic) Sunburst,染料：陽光（金屬）
modDyeMetallicViolet420,item_modifiers,mod,New,Dye: (Metallic) Violet,染料：紫羅蘭（金屬）
modDyeMetallicYellow420,item_modifiers,mod,New,Dye: (Metallic) Yellow,染料：黃色（金屬）
,,,,,
modDyeNeonBlue420,item_modifiers,mod,New,Dye: (Neon) Blue,染料：藍色（霓虹）
modDyeNeonCyan420,item_modifiers,mod,New,Dye: (Neon) Cyan,染料：青色（霓虹）
modDyeNeonFuchsia420,item_modifiers,mod,New,Dye: (Neon) Fuchsia,染料：紫紅（霓虹）
modDyeNeonGreen420,item_modifiers,mod,New,Dye: (Neon) Green,染料：綠色（霓虹）
modDyeNeonLime420,item_modifiers,mod,New,Dye: (Neon) Lime,染料：萊姆（霓虹）
modDyeNeonOrange420,item_modifiers,mod,New,Dye: (Neon) Orange,染料：橘色（霓虹）
modDyeNeonPink420,item_modifiers,mod,New,Dye: (Neon) Pink,染料：粉紅色（霓虹）
modDyeNeonPurple420,item_modifiers,mod,New,Dye: (Neon) Purple,染料：紫色（霓虹）
modDyeNeonRed420,item_modifiers,mod,New,Dye: (Neon) Red,染料：紅色（霓虹）
modDyeNeonTurquoise420,item_modifiers,mod,New,Dye: (Neon) Turquoise,染料：綠松石（霓虹）
modDyeNeonYellow420,item_modifiers,mod,New,Dye: (Neon) Yellow,染料：黃色（霓虹）
,,,,,
modDyePaleAqua420,item_modifiers,mod,New,Dye: (Pale) Aqua,染料：水藍色（淺色）
modDyePaleBlue420,item_modifiers,mod,New,Dye: (Pale) Blue,染料：藍色（淺色）
modDyePaleBrown420,item_modifiers,mod,New,Dye: (Pale) Brown,染料：棕色（淺色）
modDyePaleCarmine420,item_modifiers,mod,New,Dye: (Pale) Carmine,染料：胭脂紅（淺色）
modDyePaleCerulean420,item_modifiers,mod,New,Dye: (Pale) Cerulean,染料：天藍色（淺色）
modDyePaleChestnut420,item_modifiers,mod,New,Dye: (Pale) Chestnut,染料：栗色（淺色）
modDyePaleCopper420,item_modifiers,mod,New,Dye: (Pale) Copper,染料：銅色（淺色）
modDyePaleCornflower420,item_modifiers,mod,New,Dye: (Pale) Cornflower,染料：矢車菊（淺色）
modDyePaleCyan420,item_modifiers,mod,New,Dye: (Pale) Cyan,染料：青色（淺色）
modDyePaleGold420,item_modifiers,mod,New,Dye: (Pale) Gold,染料：金色（淺色）
modDyePaleGoldenrod420,item_modifiers,mod,New,Dye: (Pale) Goldenrod,染料：金盞花（淺色）
modDyePaleGreen420,item_modifiers,mod,New,Dye: (Pale) Green,染料：綠色（淺色）
modDyePaleLavender420,item_modifiers,mod,New,Dye: (Pale) Lavender,染料：薰衣草（淺色）
modDyePaleMagenta420,item_modifiers,mod,New,Dye: (Pale) Magenta,染料：洋紅（淺色）
modDyePaleRose420,item_modifiers,mod,New,Dye: (Pale) Rose,染料：玫瑰（淺色）
modDyePalePink420,item_modifiers,mod,New,Dye: (Pale) Pink,染料：粉紅色（淺色）
modDyePalePlum420,item_modifiers,mod,New,Dye: (Pale) Plum,染料：李子（淺色）
modDyePaleRed420,item_modifiers,mod,New,Dye: (Pale) Red,染料：紅色（淺色）
modDyePaleRobinEgg420,item_modifiers,mod,New,Dye: (Pale) Robin Egg,染料：知更鳥蛋（淺色）
modDyePaleSilver420,item_modifiers,mod,New,Dye: (Pale) Silver,染料：銀色（淺色）
modDyePaleSpringBud420,item_modifiers,mod,New,Dye: (Pale) Spring Bud,染料：春芽（淺色）
modDyePaleTaupe420,item_modifiers,mod,New,Dye: (Pale) Taupe,染料：灰褐色（淺色）
modDyePaleTurquoise420,item_modifiers,mod,New,Dye: (Pale) Turquoise,染料：綠松石（淺色）
modDyePaleViolet420,item_modifiers,mod,New,Dye: (Pale) Violet,染料：紫羅蘭（淺色）
,,,,,
modDyePastelBlue420,item_modifiers,mod,New,Dye: (Pastel) Blue,染料：藍色（柔和）
modDyePastelBronze420,item_modifiers,mod,New,Dye: (Pastel) Bronze,染料：青銅（柔和）
modDyePastelBrown420,item_modifiers,mod,New,Dye: (Pastel) Brown,染料：棕色（柔和）
modDyePastelGrey420,item_modifiers,mod,New,Dye: (Pastel) Grey,染料：灰色（柔和）
modDyePastelGreen420,item_modifiers,mod,New,Dye: (Pastel) Green,染料：綠色（柔和）
modDyePastelMagenta420,item_modifiers,mod,New,Dye: (Pastel) Magenta,染料：洋紅（柔和）
modDyePastelOrange420,item_modifiers,mod,New,Dye: (Pastel) Orange,染料：橘色（柔和）
modDyePastelPink420,item_modifiers,mod,New,Dye: (Pastel) Pink,染料：粉紅色（柔和）
modDyePastelPurple420,item_modifiers,mod,New,Dye: (Pastel) Purple,染料：紫色（柔和）
modDyePastelRed420,item_modifiers,mod,New,Dye: (Pastel) Red,染料：紅色（柔和）
modDyePastelViolet420,item_modifiers,mod,New,Dye: (Pastel) Violet,染料：紫羅蘭（柔和）
modDyePastelYellow420,item_modifiers,mod,New,Dye: (Pastel) Yellow,染料：黃色（柔和）
,,,,,
modDyePersianBlue420,item_modifiers,mod,New,Dye: (Persian) Blue,染料：藍色（波斯）
modDyePersianGreen420,item_modifiers,mod,New,Dye: (Persian) Green,染料：綠色（波斯）
modDyePersianIndigo420,item_modifiers,mod,New,Dye: (Persian) Indigo,染料：靛藍（波斯）
modDyePersianOrange420,item_modifiers,mod,New,Dye: (Persian) Orange,染料：(波斯)橘色
modDyePersianPink420,item_modifiers,mod,New,Dye: (Persian) Pink,染料：(波斯)粉紅色
modDyePersianPlum420,item_modifiers,mod,New,Dye: (Persian) Plum,染料：(波斯)李子色
modDyePersianRed420,item_modifiers,mod,New,Dye: (Persian) Red,染料：(波斯)紅色
modDyePersianRose420,item_modifiers,mod,New,Dye: (Persian) Rose,染料：(波斯)玫瑰色
,,,,,
modDyePhillipineBlue420,item_modifiers,mod,New,Dye: (Phillipine) Blue,染料：(菲律賓)藍色
modDyePhillipineBronze420,item_modifiers,mod,New,Dye: (Phillipine) Bronze,染料：(菲律賓)古銅色
modDyePhillipineBrown420,item_modifiers,mod,New,Dye: (Phillipine) Brown,染料：(菲律賓)棕色
modDyePhillipineGold420,item_modifiers,mod,New,Dye: (Phillipine) Gold,染料：(菲律賓)金色
modDyePhillipineGoldenYellow420,item_modifiers,mod,New,Dye: (Phillipine) Golden Yellow,染料：(菲律賓)金黃色
modDyePhillipineGreen420,item_modifiers,mod,New,Dye: (Phillipine) Green,染料：(菲律賓)綠色
modDyePhillipineGrey420,item_modifiers,mod,New,Dye: (Phillipine) Grey,染料：(菲律賓)灰色
modDyePhillipineIndigo420,item_modifiers,mod,New,Dye: (Phillipine) Indigo,染料：(菲律賓)靛藍色
modDyePhillipineOrange420,item_modifiers,mod,New,Dye: (Phillipine) Orange,染料：(菲律賓)橘色
modDyePhillipinePink420,item_modifiers,mod,New,Dye: (Phillipine) Pink,染料：(菲律賓)粉紅色
modDyePhillipineRed420,item_modifiers,mod,New,Dye: (Phillipine) Red,染料：(菲律賓)紅色
modDyePhillipineSilver420,item_modifiers,mod,New,Dye: (Phillipine) Silver,染料：(菲律賓)銀色
modDyePhillipineSkyBlue420,item_modifiers,mod,New,Dye: (Phillipine) Sky Blue,染料：(菲律賓)天藍色
modDyePhillipineViolet420,item_modifiers,mod,New,Dye: (Phillipine) Violet,染料：(菲律賓)紫羅蘭色
modDyePhillipineYellow420,item_modifiers,mod,New,Dye: (Phillipine) Yellow,染料：(菲律賓)黃色
,,,,,
modDyeRoyalBlue420,item_modifiers,mod,New,Dye: (Royal) Blue,染料：(皇家)藍色
modDyeRoyalAzure420,item_modifiers,mod,New,Dye: (Royal) Azure,染料：(皇家)蔚藍色
modDyeRoyalFuchsia420,item_modifiers,mod,New,Dye: (Royal) Fuchsia,染料：(皇家)紫紅色
modDyeRoyalGreen420,item_modifiers,mod,New,Dye: (Royal) Green,染料：(皇家)綠色
modDyeRoyalBrown420,item_modifiers,mod,New,Dye: (Royal) Brown,染料：(皇家)棕色
modDyeRoyalOrange420,item_modifiers,mod,New,Dye: (Royal) Orange,染料：(皇家)橘色
modDyeRoyalPink420,item_modifiers,mod,New,Dye: (Royal) Pink,染料：(皇家)粉紅色
modDyeRoyalPurple420,item_modifiers,mod,New,Dye: (Royal) Purple,染料：(皇家)紫色
modDyeRoyalRed420,item_modifiers,mod,New,Dye: (Royal) Red,染料：(皇家)紅色
modDyeRoyalYellow420,item_modifiers,mod,New,Dye: (Royal) Yellow,染料：(皇家)黃色
,,,,,
modDyeSpanishBlue420,item_modifiers,mod,New,Dye: (Spanish) Blue,染料：(西班牙)藍色
modDyeSpanishBistre420,item_modifiers,mod,New,Dye: (Spanish) Bistre,染料：(西班牙)褐色
modDyeSpanishCarmine420,item_modifiers,mod,New,Dye: (Spanish) Carmine,染料：(西班牙)胭脂紅
modDyeSpanishCrimson420,item_modifiers,mod,New,Dye: (Spanish) Crimson,染料：(西班牙)深紅色
modDyeSpanishGreen420,item_modifiers,mod,New,Dye: (Spanish) Green,染料：(西班牙)綠色
modDyeSpanishOrange420,item_modifiers,mod,New,Dye: (Spanish) Orange,染料：(西班牙)橘色
modDyeSpanishPink420,item_modifiers,mod,New,Dye: (Spanish) Pink,染料：(西班牙)粉紅色
modDyeSpanishRed420,item_modifiers,mod,New,Dye: (Spanish) Red,染料：(西班牙)紅色
modDyeSpanishGrey420,item_modifiers,mod,New,Dye: (Spanish) Grey,染料：(西班牙)灰色
modDyeSpanishPurple420,item_modifiers,mod,New,Dye: (Spanish) Purple,染料：(西班牙)紫色
modDyeSpanishViridian420,item_modifiers,mod,New,Dye: (Spanish) Viridian,染料：(西班牙)孔雀石綠
modDyeSpanishViolet420,item_modifiers,mod,New,Dye: (Spanish) Violet,染料：(西班牙)紫羅蘭色
modDyeSpanishYellow420,item_modifiers,mod,New,Dye: (Spanish) Yellow,染料：(西班牙)黃色
,,,,,
modDyeBubbleGumPink420,item_modifiers,mod,New,Dye: (User) Bubble Gum Pink,染料：(使用者)泡泡糖粉紅色
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BossSpawnerTimer_AOO,,,,Boss Spawner - Charging,頭目生成器 - 充能中
BossSpawner_AOO,,,,Boss Spawner - Ready,頭目生成器 - 準備就緒
,,,,,
AOOQuestsDesc,,,,AOO Quest Skill Tree,AOO 任務技能樹
researchFacility,,,,Self Destruct - Research Facility,自毀 - 研究設施
,,,,,
AOOCraftingDesc,,,,Unlock the Oblivion Master Workbench and reduce crafting time.,解鎖遺忘大師工作台並減少製作時間。
AOOCraftingLongDesc,,,,Unlock the Oblivion Master Workbench and reduce crafting time.,解鎖遺忘大師工作台並減少製作時間。
AOOSkillPoint,items,Item,,AOO Skill Point,AOO 技能點
AOOSkillPointDesc,items,Item,,Convert this skill point into any AOO specific skill point!,將此技能點轉換成任何 AOO 特定技能點！
AOOQuestSkills,items,Item,,AOO Quest Skill Point,AOO 任務技能點
AOOQuestSkillsDesc,items,Item,,Use this to add a point into the AOO Quest skill tree.,使用此技能點新增一點到 AOO 任務技能樹。
,,,,,
AOOCraftingSkills,items,Item,,AOO Crafting Skill Point,AOO 製作技能點
AOOCraftingSkillsDesc,items,Item,,Use this to add a point into the AOO Crafting skill tree.,使用此技能點新增一點到 AOO 製作技能樹。
,,,,,
AOOFarmingSkills,items,Item,,AOO Farming Skill Point,AOO 農業技能點
AOOFarmingSkillsDesc,items,Item,,Use this to add a point into the AOO Farming skill tree.,使用此技能點新增一點到 AOO 農業技能樹。
,,,,,
AOOWeaponSkills,items,Item,,AOO Weapon Skill Point,AOO 武器技能點
AOOWeaponSkillsDesc,items,Item,,Use this to add a point into the AOO Weapon skill tree.,使用此技能點新增一點到 AOO 武器技能樹。
,,,,,
AOOCookingSkills,items,Item,,AOO Cooking Skill Point,AOO 烹飪技能點
AOOCookingSkillsDesc,items,Item,,Use this to add a point into the AOO Cooking skill tree.,使用此技能點新增一點到 AOO 烹飪技能樹。
,,,,,
AOOForgeSkills,items,Item,,AOO Forge Skill Point,AOO 鍛造技能點
AOOForgeSkillsDesc,items,Item,,Use this to add a point into the AOO Forge skill tree.,使用此技能點新增一點到 AOO 鍛造技能樹。
,,,,,
AOOCloningSkills,items,Item,,AOO Cloning Skill Point,AOO 克隆技能點
AOOCloningSkillsDesc,items,Item,,Use this to add a point into the AOO Cloning skill tree.,使用此技能點新增一點到 AOO 克隆技能樹。
,,,,,
AOOAlchemySkills,items,Item,,AOO Alchemy Skill Point,AOO 煉金術技能點
AOOAlchemySkillsDesc,items,Item,,Use this to add a point into the AOO Alchemy skill tree.,使用此技能點新增一點到 AOO 煉金術技能樹。
,,,,,
AOOHealthSkills,items,Item,,AOO Health Skill Point,AOO 健康技能點
AOOHealthSkillsDesc,items,Item,,Use this to add a point into the AOO Health skill tree.,使用此技能點新增一點到 AOO 健康技能樹。
,,,,,
AOOStaminaSkills,items,Item,,AOO Stamina Skill Point,AOO 耐力技能點
AOOStaminaSkillsDesc,items,Item,,Use this to add a point into the AOO Stamina skill tree.,使用此技能點新增一點到 AOO 耐力技能樹。
,,,,,
AOOToolsSkills,items,Item,,AOO Tool Skill Point,AOO 工具技能點
AOOToolsSkillsDesc,items,Item,,Use this to add a point into the AOO Tool skill tree.,使用此技能點新增一點到 AOO 工具技能樹。
,,,,,
AOOCloningSkills,items,Item,,AOO Cloning Skill Point,AOO 克隆技能點
AOOCloningSkillsDesc,items,Item,,Use this to add a point into the AOO Cloning skill tree.,使用此技能點新增一點到 AOO 克隆技能樹。
,,,,,
CloningL1AOO,items,Item,,Crystal Power Generator,水晶發電機
CloningL1AOODesc,items,Item,,This Power Generator is required to power a cloning station. Producing Clones takes MO Power!,需要此發電機才能為克隆站供電。生產克隆人需要 MO 電力！
,,,,,
CloningL2AOO,items,Item,,Empty Cloning Chamber,空的克隆室
CloningL2AOODesc,items,Item,,Used to upgrade the Cloning station to be able to clone Animals and Humans.,用於升級克隆站，使其能夠克隆動物和人類。
,,,,,
CloningL3AOO,items,Item,,Empty Enhanced Cloning Chamber,空的增強克隆室
CloningL3AOODesc,items,Item,,Used to upgrade the Cloning station to be able to Enhance your cloning ability and produce clones for less resources.,用於升級克隆站，使其能夠增強你的克隆能力並以更少的資源生產克隆人。
,,,,,
,,,,,
ButcherInfo,,,,Put your carcass or Zombie Corpse in and wait! \nWill take about 20 seconds per carcass/corpse.,把你的屍體或殭屍屍體放進去等候！\n每個屍體/屍體大約需要 20 秒。
CrusherInfo,,,,Put your Vehicle in and wait! \nWill take about 60 seconds per Vehicle.,把你的載具放進去等候！\n每輛載具大約需要 60 秒。
EggChickenInfo,,,,Feed your Chicken! Min 10 Animal Feed.\nWill take about 30 Minutes.,餵你的雞！至少 10 份動物飼料。\n大約需要 30 分鐘。
MilkingCowInfo,,,,Feed your Cow! Min 10 Animal Feed.\nWill take about 30 Minutes.,餵你的牛！至少 10 份動物飼料。\n大約需要 30 分鐘。
ResurrectionInfo,,,,Put your Zombie Corpse and Res Potion! Will take about 5 Minutes seconds per Zombie.,把你的殭屍屍體和復活藥水放進去！每個殭屍大約需要 5 分鐘。
PlantInfo,,,,"Water your plants for resources. Will take boiled, Murky or Buckets of water.",用煮過的、混濁的或一桶水澆灌你的植物以獲得資源。
,,,,,
,,,,,
zombieSkeletonBoss_03_AOO,entityclasses,Entity,New,James the Conqueror (Skeleton Overlord),征服者詹姆斯（骷髏領主）
zombieSkeletonBoss_05_AOO,entityclasses,Entity,New,Michelle the Exterminator (Skeleton Overlord),終結者蜜雪兒（骷髏領主）
,,,,,
zombieWeeperBlackT1AOO,entity,Entity,,Death Weeper,死亡哭泣者
zombieWeeperRedT1AOO,entity,Entity,,Fire Weeper,火哭泣者
zombieWeeperGreenT1AOO,entity,Entity,,Forest Weeper,森林哭泣者
zombieWeeperBlueT1AOO,entity,Entity,,Frozen Weeper,冰凍哭泣者
zombieWeeperMarbleT1AOO,entity,Entity,,Purified Weeper,淨化哭泣者
zombieWeeperStoneT1AOO,entity,Entity,,Stone Blood Weeper,石血哭泣者
zombieWeeperMetalT1AOO,entity,Entity,,Electric Weeper,電哭泣者
,,,,,
,,,,,
,,,,,
,,,,,
buffIllFoodPoisoning01Name,buffs,Buff,,Food Poisoning,食物中毒
,,,,,
,,,,,
,,,,,
,,,,,
zombieT2_01AOO,entity,Entity,New,Cap'n Crunch Transformed (Boss),變形船長克朗奇（頭目）
zombieT2_02AOO,entity,Entity,New,Killer B Transformed (Boss),變形殺手 B（頭目）
zombieT2_03AOO,entity,Entity,New,MPLogue Transformed (Boss),變形 MPLogue（頭目）
zombieT2_04AOO,entity,Entity,New,Braede Transformed (Boss),變形布雷德（頭目）
zombieT2_05AOO,entity,Entity,New,SnowBee Transformed (Boss),變形雪蜂（頭目）
,,,,,
zombieT2_SlugAOO,entity,Entity,New,Sunshine Transformed (Boss),變形陽光（頭目）
zombieT2_MutantAOO,entity,Entity,New,Daijin Transformed (Boss),變形大臣（頭目）
zombieT3_JuggernautAOO,entity,Entity,New,Juggernaut (Boss),巨獸（頭目）
zombieT3_CockroachAOO,entity,Entity,New,Cockroach (Boss),蟑螂（頭目）
zombieT3_ReptileAOO,entity,Entity,New,Reptile (Boss),爬蟲類（頭目）
