Key,English,French,tchinese
goCustomAdvancedPlayerFeaturesVehicleNoTakeDesc,Disables picking up vehicles,,停用拾取載具
goCustomFoodSpoilageFoodSpoilage,Food Spoilage,,食物腐敗
goCustomFoodSpoilageFoodSpoilageDesc,Food Spoilage requires an additional modlet that would enable food spoilage on items.,,食物腐敗需要額外的模組，才能在物品上啟用食物腐敗。
goCustomAdvancedPlayerFeaturesOneBlockCrouch,Allow One Block Crouch,,允許單格蹲伏
goCustomAdvancedPlayerFeaturesOneBlockCrouchDesc,Allows the player to crouch in 1 block openings.,,允許玩家在 1 格開口處蹲伏。
goCustomAdvancedPlayerFeaturesSoftHands,Soft Hands,,柔軟的手
goCustomAdvancedPlayerFeaturesSoftHandsDesc,"If enabled, player will take damage when punching with bare hands",,如果啟用，玩家在徒手出拳時會受到傷害
goCustomAdvancedPlayerFeaturesExtendedSigns,Allow enhanced signs,,允許增強標誌
goCustomAdvancedPlayerFeaturesExtendedSignsDesc,"If enabled, allows players to place imgur links in signs to display pictures.",,如果啟用，允許玩家在標誌中放置 imgur 連結以顯示圖片。
goCustomAdvancedZombieFeaturesHeadshotOnly,Head Shot only,,僅爆頭
goCustomAdvancedZombieFeaturesHeadshotOnlyDesc,Allow zombies to only get hurt if hit in the head.,,允許殭屍只有在被擊中頭部時才會受到傷害。
goCustomAdvancedZombieFeaturesRandomSize,Random Size Zombies,,隨機大小的殭屍
goCustomAdvancedZombieFeaturesRandomSizeDesc,Allow zombies to be random size,,允許殭屍具有隨機大小
goCustomAdvancedZombieFeaturesRandomWalk,Random Walk types,,隨機行走類型
goCustomAdvancedZombieFeaturesRandomWalkDesc,Allow zombies to have random walk types,,允許殭屍具有隨機行走類型
goCustomErrorHandlingNoExceptionHijack,Hide Null Refs,,隱藏空引用
goCustomErrorHandlingNoExceptionHijackDesc,"DEBUG ONLY! If enabled, blocks null refs from dropping the console.",,僅限除錯！如果啟用，會阻止空引用中斷主控台。
goCustomSCoreAdvanced,Debug Only,,僅限除錯
xuiSCoreDebugGameOptions,SCore Debug,,SCore 除錯
goCustomThemeSpook,Enable Spook Theme,,啟用鬼魅主題
goCustomThemeSpookDesc,Enabled perpetual blood moon effects,,啟用永久血月效果
goCustomCaveConfigurationCaveEnabled,Enable Caves,,啟用洞穴
goCustomCaveConfigurationCaveEnabledDesc,Enable support for caves,,啟用對洞穴的支援
goCustomCropManagementCropEnable,Enable Advanced Water,,啟用進階水
goCustomCropManagementCropEnableDesc,"Enables plants requiring water, allows pipes, etc",,啟用需要水的植物，允許管道等
goCustomFireManagementFireEnable,Enable Fire Spreading,,啟用火勢蔓延
goCustomFireManagementFireEnableDesc,Enable fire to ignore and spread to other blocks,,啟用火勢忽略並蔓延到其他方塊
goCustomFireManagementCheckInterval,Fire Burn Interval,,火勢燃燒間隔
goCustomFireManagementCheckIntervalDesc,"How fast, in seconds, the fire will spread.",,火勢蔓延的速度，以秒為單位。
goCustomFireManagementFireDamage,Fire Damage,,火勢傷害
goCustomFireManagementFireDamage,"How much damage, per Check Interval, blocks take from damage.",,方塊在每次檢查間隔中受到的傷害量。
goCustomFireManagementSmokeTime,Smoke Time,,煙霧時間
goCustomFireManagementSmokeTimeDesc,How long smoke lasts on extinguished block.,,煙霧在熄滅的方塊上持續的時間。
goCustomCaveConfigurationCaveType,Cave Type,,洞穴類型
goCustomCaveConfigurationCaveTypeDesc,Decide what type of cave system to generate.,,決定要生成哪種類型的洞穴系統。
,,,
goCustomAdvancedTroubleshootingFeaturesVerboseXMLParser,Verbose XML Parser,,詳細 XML 解析器
goCustomAdvancedTroubleshootingFeaturesVerboseXMLParserDesc,Enables very verbose XML troubleshooting for some XML files.,,為某些 XML 檔案啟用非常詳細的 XML 疑難排解。
goCustomAdvancedTroubleshootingFeaturesPhysicsBody,Verbose Physics Body,,詳細物理主體
goCustomAdvancedTroubleshootingFeaturesPhysicsBodyDesc,Enables Physics Body troubleshooting for models,,為模型啟用物理主體疑難排解
goCustomAdvancedTroubleshootingFeaturesAnimatorMapper,Animator Mapper,,動畫師對應器
goCustomAdvancedTroubleshootingFeaturesAnimatorMapperDesc,Animator Mapper,,動畫師對應器
goCustomAdvancedTroubleshootingFeaturesComponentMapper,Component Mapper,,元件對應器
goCustomAdvancedTroubleshootingFeaturesComponentMapperDesc,Shows Component Map of Entities,,顯示實體的元件對應
goCustomAdvancedUIDisableXPIconNotification,Disable XP Icon Notification,,停用經驗值圖示通知
goCustomAdvancedUIDisableXPIconNotificationDesc,Disables the XP pop up from the UI,,停用使用者介面中的經驗值彈出視窗
blockcommand_search,Open,,開啟
npcHasItems,NPC has items in their inventory.,,NPC 的清單中有物品。
