Key,Source,Context,Changes,English,tchinese,中文機翻
foodDoughAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Face it... you knead it.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]面對現實吧...你需要它。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]面對現實吧...你需要它。
,,,,,,
foodFlourAOO,items,Food,,Flour,麵粉,麵粉
foodFlourAOOSchematic,items,Food,,Flour Recipe,麵粉食譜,麵粉食譜
foodFlourAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]All bakers believe in flour power.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]所有麵包師都相信麵粉的力量。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]所有麵包師都相信麵粉的力量。
,,,,,,
foodGrandMa'sFamousSauceAOO,items,Food,,Grandma's Famous Sauce,奶奶的著名醬汁,奶奶的著名醬汁
foodGrandMa'sFamousSauceAOOSchematic,items,Food,,Grandma's Famous Sauce Recipe,奶奶的著名醬汁食譜,奶奶的著名醬汁食譜
foodGrandMa'sFamousSauceAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Only the best tomato sauce, just like Grandma used to make!",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]只有最好的番茄醬，就像奶奶以前做的一樣！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]只有最好的番茄醬，就像奶奶以前做的一樣！
,,,,,,
foodMilkAOO,items,Food,,Milk,牛奶,牛奶
foodMilkAOOSchematic,items,Food,,Pasteurized Milk Recipe,巴氏殺菌牛奶食譜,巴氏殺菌牛奶食譜
foodMilkAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Milk! It does the body good. Not much use on its own but can be used in recipies to make other ingredients and tasty food.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]牛奶！對身體有益。單獨使用沒有太大用處，但可以用於食譜中，以製作其他成分和美味食物。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]牛奶！對身體有益。單獨使用沒有太大用處，但可以用於食譜中，以製作其他成分和美味食物。
,,,,,,
foodOldSaltAOO,items,Food,,Salt,鹽,鹽
foodOldSaltAOOSchematic,items,Food,,Salt Recipe,鹽食譜,鹽食譜
foodOldSaltAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]It's salty.""",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]它是鹹的。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]它是鹹的。
,,,,,,
foodRawBaconAOO,items,Food,,Raw Bacon,生培根,生培根
foodRawBaconAOOSchematic,items,Food,,Raw Bacon Recipe,生培根食譜,生培根食譜
foodRawBaconAOODescs,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw bacon, ready for fry-up.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生培根，準備好油炸。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生培根，準備好油炸。
,,,,,,
foodRawWildSteakAOO,items,Food,,Raw Wild Steak,生野牛排,生野牛排
foodRawWildSteakAOODescs,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw Wild Steak, ready for fry-up.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生野牛排，準備好油炸。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生野牛排，準備好油炸。
,,,,,,
foodRawKobeSteakAOO,items,Food,,Raw Kobe Steak,生神戶牛排,生神戶牛排
foodRawKobeSteakAOODescs,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw Kobe Steak, ready for fry-up.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生神戶牛排，準備好油炸。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生神戶牛排，準備好油炸。
,,,,,,
foodRawWildGameAOO,items,Food,,Raw Wild Game,生野味,生野味
foodRawWildGameAOODescs,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw Wild Game, Carve it up on the Butcher's Table.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生野味，在屠夫桌上切開它。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生野味，在屠夫桌上切開它。
,,,,,,
foodRawBeefAOO,items,Food,,Raw Beef,生牛肉,生牛肉
foodRawBeefAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n[abddfc]CRAFTING TABLE: [ffffff]Butcher Table \n[abddfc]UNLOCKED BY: [ffffff] \n\n[abddfc]DESCRIPTION:[ffffff]Beef straight from the cow,[abddfc]類型：[ffffff]食物\n[abddfc]製作台：[ffffff]屠夫桌\n[abddfc]解鎖條件：[ffffff]\n\n[abddfc]說明：[ffffff]直接來自牛的牛肉,[abddfc]類型：[ffffff]食物\n[abddfc]製作台：[ffffff]屠夫桌\n[abddfc]解鎖條件：[ffffff]\n\n[abddfc]說明：[ffffff]直接來自牛的牛肉
,,,,,,
foodRawChickenBreastAOO,items,Food,,Raw Chicken Breast,生雞胸肉,生雞胸肉
foodRawChickenBreastAOOSchematic,items,Food,,Raw Chicken Breast Recipe,生雞胸肉食譜,生雞胸肉食譜
foodRawChickenBreastAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw chicken breast ready for cooking.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生雞胸肉，準備好烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生雞胸肉，準備好烹飪。
,,,,,,
foodRawChickenLegsandWingsAOO,items,Food,,Raw Chicken Legs and Wings,生雞腿和雞翅,生雞腿和雞翅
foodRawChickenLegsandWingsAOOSchematic,items,Food,,Raw Chicken Legs and Wings Recipe,生雞腿和雞翅食譜,生雞腿和雞翅食譜
foodRawChickenLegsandWingsAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw chicken legs and wings, ready for cooking.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生雞腿和雞翅，準備好烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生雞腿和雞翅，準備好烹飪。
,,,,,,
foodRawGroundBeefAOO,items,Food,,Raw Ground Beef,生絞肉,生絞肉
foodRawGroundBeefAOOSchematic,items,Food,,Raw Ground Beef Recipe,生絞肉食譜,生絞肉食譜
foodRawGroundBeefAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food  \n\n[abddfc]DESCRIPTION:[ffffff]Raw ground beef, ready for cooking.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生絞肉，準備好烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生絞肉，準備好烹飪。
,,,,,,
foodRawHamAOO,items,Food,,Raw Ham,生火腿,生火腿
foodRawHamAOOSchematic,items,Food,,Raw Ham Recipe,生火腿食譜,生火腿食譜
foodRawHamAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw ham, ready for cooking.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生火腿，準備好烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生火腿，準備好烹飪。
,,,,,,
foodRawKobeBeefAOO,items,Food,,Raw Kobe Beef,生神戶牛肉,生神戶牛肉
foodRawKobeBeefAOOSchematic,items,Food,,Raw Kobe Beef Recipe,生神戶牛肉食譜,生神戶牛肉食譜
foodRawKobeBeefAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw kobe beef, ready for cooking.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生神戶牛肉，準備好烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生神戶牛肉，準備好烹飪。
,,,,,,
foodRawMilkAOO,items,Food,,Raw Milk,生牛奶,生牛奶
foodRawMilkAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Milk straight from the cow. Pasteurize this before drinking!,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]直接來自牛的牛奶。在飲用前先巴氏殺菌！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]直接來自牛的牛奶。在飲用前先巴氏殺菌！
,,,,,,
foodRawPastaAOO,items,Food,,Raw Pasta,生義大利麵,生義大利麵
foodRawPastaAOOSchematic,items,Food,,Homemade Pasta Recipe,自製義大利麵食譜,自製義大利麵食譜
foodRawPastaAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Spaghetti, lasagna, angelhair, rigatoni, tortelini... you name it, you make it!",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]義大利麵、千層麵、天使麵、通心粉、餛飩...你說得出來，你做得到！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]義大利麵、千層麵、天使麵、通心粉、餛飩...你說得出來，你做得到！
,,,,,,
foodRawPorkAOO,items,Food,,Raw Pork,生豬肉,生豬肉
foodRawPorkAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Pork straight from the pig, or boar. Ready to be butchered into specific cuts for cooking.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]直接來自豬或野豬的豬肉。準備好屠宰成特定部位以供烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]直接來自豬或野豬的豬肉。準備好屠宰成特定部位以供烹飪。
,,,,,,
foodRawPorkLoinAOO,items,Food,,Raw Pork Loin,生豬里肌肉,生豬里肌肉
foodRawPorkLoinAOOSchematic,items,Food,,Raw Pork Loin Recipe,生豬里肌肉食譜,生豬里肌肉食譜
foodRawPorkLoinAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw pork loin ready for cooking.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生豬里肌肉，準備好烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生豬里肌肉，準備好烹飪。
,,,,,,
foodRawPorkRibsAOO,items,Food,,Raw Pork Ribs,生豬肋排,生豬肋排
foodRawPorkRibsAOOSchematic,items,Food,,Raw Pork Ribs Recipe,生豬肋排食譜,生豬肋排食譜
foodRawPorkRibsAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw pork ribs ready for cooking.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生豬肋排，準備好烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生豬肋排，準備好烹飪。
,,,,,,
foodRawSausageLinkAOO,items,Food,,Raw Sausage Link,生香腸連結,生香腸連結
foodRawSausageLinkAOOSchematic,items,Food,,Raw Sausage Link Recipe,生香腸連結食譜,生香腸連結食譜
foodRawSausageLinkAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw sausage links ready for cooking.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生香腸連結，可供烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生香腸連結，可供烹飪。
,,,,,,
foodRawSteakAOO,items,Food,,Raw Steak,生牛排,生牛排
foodRawSteakAOOSchematic,items,Food,,Raw Steak Recipe,生牛排食譜,生牛排食譜
foodRawSteakAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Raw steak ready for cooking.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生牛排，可供烹飪。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]生牛排，可供烹飪。
,,,,,,
foodSugarAOO,items,Food,,Sugar,糖,糖
foodSugarAOOSchematic,items,Food,,Sugar Recipe,糖食譜,糖食譜
foodSugarAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Aw, it's so sweet!",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]哇，好甜！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]哇，好甜！
,,,,,,
foodVegOilAOO,items,Food,,Vegetable Oil,植物油,植物油
foodVegOilAOOSchematic,items,Food,,Vegetable Oil Recipe,植物油食譜,植物油食譜
foodVegOilAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Used as an ingredient in tasty recipies.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]用於美味食譜的成分。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]用於美味食譜的成分。
,,,,,,
foodWhiteRiceAOO,items,Food,,White Rice,白米,白米
foodWhiteRiceAOOSchematic,items,Food,,Steamed White Rice Recipe,蒸白米食譜,蒸白米食譜
foodWhiteRiceAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]I'm all over that!,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]我喜歡！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]我喜歡！
,,,,,,
,,,,,,
foodBagelandCreamCheeseAOO,items,Food,,Bagel and Cream Cheese,貝果和奶油乳酪,貝果和奶油乳酪
foodBagelandCreamCheeseAOOSchematic,items,Food,,Bagel and Cream Cheese Recipe,貝果和奶油乳酪食譜,貝果和奶油乳酪食譜
foodBagelandCreamCheeseAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]A classic breakfast treat.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]經典早餐美食。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]經典早餐美食。
,,,,,,
foodBreakfastBaconSandwichAOO,items,Food,,Breakfast Bacon Sandwich,培根三明治,培根三明治
foodBreakfastBaconSandwichAOOSchematic,items,Food,,Breakfast Bacon Sandwich Recipe,培根三明治食譜,培根三明治食譜
foodBreakfastBaconSandwichAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Bacon! Also a breakfast sandwich.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]培根！也是早餐三明治。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]培根！也是早餐三明治。
,,,,,,
foodBreakfastSausageSandwichAOO,items,Food,,Breakfast Sausage Sandwich,香腸三明治,香腸三明治
foodBreakfastSausageSandwichAOOSchematic,items,Food,,Breakfast Sausage Sandwich Recipe,香腸三明治食譜,香腸三明治食譜
foodBreakfastSausageSandwichAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]What makes bagels even better? Why, meat, of course!",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]什麼讓貝果更好吃？當然是肉！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]什麼讓貝果更好吃？當然是肉！
,,,,,,
foodFruitPancakesAOO,items,Food,,Fruit Pancakes,水果鬆餅,水果鬆餅
foodFruitPancakesAOOSchematic,items,Food,,Fruit Pancakes Recipe,水果鬆餅食譜,水果鬆餅食譜
foodFruitPancakesAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Delightfully fresh and delicious.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]令人愉悅的新鮮美味。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]令人愉悅的新鮮美味。
,,,,,,
foodFullStackoPancakesAOO,items,Food,,Full Stack of Pancakes,一疊鬆餅,一疊鬆餅
foodFullStackoPancakesAOOSchematic,items,Food,,Full Stack of Pancakes Recipe,一疊鬆餅食譜,一疊鬆餅食譜
foodFullStackoPancakesAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]For when one pancake just isn't enough.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]當一個鬆餅不夠時。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]當一個鬆餅不夠時。
,,,,,,
foodPancakeAOO,items,Food,,Pancake,鬆餅,鬆餅
foodPancakeAOOSchematic,items,Food,,Pancake Recipe,鬆餅食譜,鬆餅食譜
foodPancakeAOODesc,items,Food,,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Flat, yet delicious.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]扁平但美味。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]扁平但美味。
,,,,,,
foodYogurtHotTSK_AOO,items,Food,New,Yogurt (Hot),優格（熱）,優格（熱）
foodYogurtHotTSK_AOOSchematic,items,Food,,Homemade Yogurt (Hot) Recipe,自製優格（熱）食譜,自製優格（熱）食譜
foodYogurtHotTSK_AOODesc,items,Food,New,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Very freshly made yogurt. Place in a fridge to cool it before eating.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]非常新鮮的優格。在食用前放入冰箱冷卻。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]非常新鮮的優格。在食用前放入冰箱冷卻。
,,,,,,
foodYogurtTSK_AOO,items,Food,New,Yogurt,優格,優格
foodYogurtTSK_AOOSchematic,items,Food,,Homemade Yogurt (Chilled) Recipe,自製優格（冷藏）食譜,自製優格（冷藏）食譜
foodYogurtTSK_AOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Yogurt: good for your innards. Tastes best mixed with something else.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]優格：對你的內臟有益。與其他東西混合後味道最佳。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]優格：對你的內臟有益。與其他東西混合後味道最佳。
,,,,,,
foodChickenPotPieTSK_AOO,items,Food,New,Homemade Chicken Pot Pie,自製雞肉餡餅,自製雞肉餡餅
foodChickenPotPieTSK_AOOSchematic,items,Food,New,Homemade Chicken Pot Pie Recipe,自製雞肉餡餅食譜,自製雞肉餡餅食譜
foodChickenPotPieTSK_AOODesc,items,Food,New,"[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Steamy, juicy pot pie.",[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]熱騰騰、多汁的餡餅。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]熱騰騰、多汁的餡餅。
,,,,,,
foodHasenpfefferTSK_AOO,items,Food,New,Hasenpfeffer,野兔肉燉肉,野兔肉燉肉
foodHasenpfefferTSK_AOOSchematic,items,Food,New,Hasenpfeffer Recipe,野兔肉燉肉食譜,野兔肉燉肉食譜
foodHasenpfefferTSK_AOODesc,items,Food,New,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Traditional German rabbit stew.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]傳統的德國野兔燉肉。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]傳統的德國野兔燉肉。
,,,,,,
,,,,,,
foodHomemadeChickenNoodleTSK_AOO,items,Food,New,Homemade Chicken Noodle Soup,自製雞肉麵條湯,自製雞肉麵條湯
foodHomemadeChickenNoodleTSK_AOOSchematic,items,Item,New,Homemade Chicken Noodle Soup Recipe,自製雞肉麵條湯食譜,自製雞肉麵條湯食譜
foodHomemadeChickenNoodleTSK_AOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Well what do you know? It really is good for the soul.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]你怎麼知道？它真的對靈魂有益。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]你怎麼知道？它真的對靈魂有益。
,,,,,,
foodRamenTSK_AOO,items,Food,New,Ramen,拉麵,拉麵
foodRamenTSK_AOOSchematic,items,Item,New,Ramen Recipe,拉麵食譜,拉麵食譜
foodRamenTSK_AOODesc,items,Food,New,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Amazing ramen. Itadakimasu!,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]令人驚嘆的拉麵。いただきます！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]令人驚嘆的拉麵。いただきます！
,,,,,,
foodRoyalGamePieTSK_AOO,items,Food,New,Royal Game Pie,皇家野味餡餅,皇家野味餡餅
foodRoyalGamePieTSK_AOOSchematic,items,Food,New,Royal Game Pie Recipe,皇家野味餡餅食譜,皇家野味餡餅食譜
foodRoyalGamePieTSK_AOODesc,items,Food,New,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Tuck in!,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]享用吧！,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]享用吧！
,,,,,,
foodVenisonStewTSK_AOO,items,Food,New,Venison Stew,鹿肉燉肉,鹿肉燉肉
foodVenisonStewTSK_AOOSchematic,items,Food,New,Venison Stew Recipe,鹿肉燉肉食譜,鹿肉燉肉食譜
foodVenisonStewTSK_AOODesc,items,Food,New,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Juicy and delicious venison stew.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]多汁美味的鹿肉燉肉。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]多汁美味的鹿肉燉肉。
,,,,,,
foodBBQPorkRibsAOO,items,Food,,BBQ Pork Ribs,烤豬肋排,烤豬肋排
foodBBQPorkRibsAOOSchematic,items,Food,,BBQ Pork Ribs Recipe,烤豬肋排食譜,烤豬肋排食譜
foodBBQPorkRibsAOODesc,items,Food,,[abddfc]TYPE: [ffffff]Food \n\n[abddfc]DESCRIPTION:[ffffff]Tangy BBQ pork ribs.,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]酸甜烤豬肋排。,[abddfc]類型：[ffffff]食物\n\n[abddfc]說明：[ffffff]酸甜烤豬肋排。
